"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
4844,"09X443",3.00,2014.00,"Asian",3.00,,,,,,,,,
4845,"09X443",4.00,2014.00,"Asian",7.00,300.00,2.00,28.57,2.00,28.57,1.00,14.28,2.00,28.57
4846,"09X443",3.00,2014.00,"Black",23.00,271.00,17.00,73.91,4.00,17.39,2.00,8.69,0.00,0.00
4847,"09X443",4.00,2014.00,"Black",24.00,276.20,14.00,58.33,8.00,33.33,1.00,4.16,1.00,4.16
4848,"09X443",3.00,2014.00,"Hispanic",57.00,280.56,29.00,50.87,24.00,42.10,4.00,7.01,0.00,0.00
4849,"09X443",4.00,2014.00,"Hispanic",49.00,271.55,31.00,63.26,14.00,28.57,4.00,8.16,0.00,0.00
4850,"09X443",3.00,2014.00,"White",1.00,,,,,,,,,
4851,"09X443",4.00,2014.00,"White",1.00,,,,,,,,,
4852,"09X443",3.00,2015.00,"All Students",88.00,286.56,38.00,43.18,34.00,38.63,11.00,12.50,5.00,5.68
4853,"09X443",4.00,2015.00,"All Students",81.00,274.74,44.00,54.32,28.00,34.56,8.00,9.87,1.00,1.23
4854,"09X443",3.00,2015.00,"Asian",3.00,,,,,,,,,
4855,"09X443",4.00,2015.00,"Asian",4.00,,,,,,,,,
4856,"09X443",3.00,2015.00,"Black",27.00,281.14,14.00,51.85,9.00,33.33,3.00,11.11,1.00,3.70
4857,"09X443",4.00,2015.00,"Black",23.00,256.95,18.00,78.26,4.00,17.39,1.00,4.34,0.00,0.00
4858,"09X443",3.00,2015.00,"Hispanic",55.00,287.09,21.00,38.18,25.00,45.45,8.00,14.54,1.00,1.81
4859,"09X443",4.00,2015.00,"Hispanic",53.00,278.92,26.00,49.05,21.00,39.62,6.00,11.32,0.00,0.00
4860,"09X443",3.00,2015.00,"White",2.00,,,,,,,,,
4861,"09X443",4.00,2015.00,"White",1.00,,,,,,,,,
4862,"09X449",3.00,2013.00,"All Students",66.00,280.62,37.00,56.06,25.00,37.87,2.00,3.03,2.00,3.03
4863,"09X449",4.00,2013.00,"All Students",53.00,278.47,29.00,54.71,16.00,30.18,6.00,11.32,2.00,3.77
4864,"09X449",3.00,2013.00,"Black",27.00,278.44,15.00,55.55,10.00,37.03,1.00,3.70,1.00,3.70
4865,"09X449",4.00,2013.00,"Black",25.00,282.04,14.00,56.00,7.00,28.00,3.00,12.00,1.00,4.00
4866,"09X449",3.00,2013.00,"Hispanic",37.00,282.89,21.00,56.75,14.00,37.83,1.00,2.70,1.00,2.70
4867,"09X449",4.00,2013.00,"Hispanic",28.00,275.28,15.00,53.57,9.00,32.14,3.00,10.71,1.00,3.57
4868,"09X449",3.00,2013.00,"White",1.00,,,,,,,,,
4869,"09X449",3.00,2014.00,"All Students",64.00,293.06,22.00,34.37,24.00,37.50,10.00,15.62,8.00,12.50
4870,"09X449",4.00,2014.00,"All Students",64.00,276.76,34.00,53.12,24.00,37.50,5.00,7.81,1.00,1.56
4871,"09X449",3.00,2014.00,"Asian",2.00,,,,,,,,,
4872,"09X449",4.00,2014.00,"Asian",1.00,,,,,,,,,
4873,"09X449",3.00,2014.00,"Black",25.00,293.56,7.00,28.00,11.00,44.00,2.00,8.00,5.00,20.00
4874,"09X449",4.00,2014.00,"Black",31.00,269.74,19.00,61.29,10.00,32.25,1.00,3.22,1.00,3.22
4875,"09X449",3.00,2014.00,"Hispanic",37.00,291.72,15.00,40.54,12.00,32.43,7.00,18.91,3.00,8.10
4876,"09X449",4.00,2014.00,"Hispanic",31.00,282.77,14.00,45.16,14.00,45.16,3.00,9.67,0.00,0.00
4877,"09X449",3.00,2015.00,"All Students",66.00,283.86,33.00,50.00,23.00,34.84,8.00,12.12,2.00,3.03
4878,"09X449",4.00,2015.00,"All Students",68.00,284.14,24.00,35.29,33.00,48.52,9.00,13.23,2.00,2.94
4879,"09X449",3.00,2015.00,"Asian",5.00,,,,,,,,,
4880,"09X449",4.00,2015.00,"Asian",2.00,,,,,,,,,
4881,"09X449",3.00,2015.00,"Black",28.00,280.67,14.00,50.00,10.00,35.71,3.00,10.71,1.00,3.57
4882,"09X449",4.00,2015.00,"Black",27.00,281.48,10.00,37.03,11.00,40.74,6.00,22.22,0.00,0.00
4883,"09X449",3.00,2015.00,"Hispanic",32.00,281.96,17.00,53.12,13.00,40.62,2.00,6.25,0.00,0.00
4884,"09X449",4.00,2015.00,"Hispanic",38.00,283.63,14.00,36.84,21.00,55.26,1.00,2.63,2.00,5.26
4885,"09X449",3.00,2015.00,"White",1.00,,,,,,,,,
4886,"09X457",3.00,2013.00,"All Students",91.00,285.30,45.00,49.45,24.00,26.37,19.00,20.87,3.00,3.29
4887,"09X457",4.00,2013.00,"All Students",121.00,277.27,71.00,58.67,39.00,32.23,9.00,7.43,2.00,1.65
4888,"09X457",3.00,2013.00,"Asian",2.00,,,,,,,,,
4889,"09X457",4.00,2013.00,"Asian",2.00,,,,,,,,,
4890,"09X457",3.00,2013.00,"Black",29.00,287.10,13.00,44.82,10.00,34.48,6.00,20.68,0.00,0.00
